matchid,totalGoldA,totalGoldB,destroyedTowersA,destroyedTowersB,destroyedInhibitorsA,destroyedInhibitorsB,dragonsA,dragonsB,baronsA,baronsB,winTeam
BR1_3028305863,60568,49961,9,3,1,0,4,0,1,0,0
BR1_3028291313,58378,49208,9,2,2,0,2,2,1,0,0
BR1_3028272099,54951,70288,3,9,0,2,1,2,0,2,1
BR1_3028261262,55568,46368,11,1,3,0,2,1,1,0,0
BR1_3027774645,38422,47753,1,7,0,1,2,1,0,1,1
BR1_3027754645,67734,57620,8,5,1,0,1,0,1,0,0
BR1_3027738199,72251,73855,10,8,5,1,3,2,1,1,1
BR1_3027716713,72298,68429,10,5,1,0,1,3,1,1,0
BR1_3027695885,85925,86506,8,6,1,1,4,3,2,1,1
BR1_3027688057,51474,62517,2,9,0,1,0,3,0,1,1
BR1_3030435458,69690,71904,6,9,0,3,2,1,0,1,1
BR1_3030388421,53971,44857,9,5,1,0,3,0,1,0,0
BR1_3030163743,58859,49746,10,2,2,0,1,2,1,0,0
BR1_3030072982,56298,48300,8,4,1,0,1,1,1,0,0
BR1_3029876447,71856,77949,3,11,0,5,1,4,1,2,1
BR1_3029845480,49056,59790,3,9,0,2,0,2,0,1,1
BR1_3029610401,61008,45620,11,2,2,0,3,0,1,0,0
BR1_3029586030,51692,42517,8,1,1,0,1,1,1,0,0
BR1_3029567543,57934,63984,3,8,0,1,0,4,0,0,1
BR1_3029549139,58244,51912,8,3,1,0,0,3,1,0,0
BR1_3029350175,68049,58095,11,3,3,0,2,2,1,0,0
BR1_3028981924,49974,58352,3,9,0,2,0,4,0,1,1
BR1_3028816326,74743,72927,11,5,3,0,2,2,1,1,0
BR1_3028731349,51737,39588,10,2,2,0,2,1,1,0,0
BR1_3027554170,60157,63640,6,8,0,1,3,1,0,1,1
BR1_3027501399,43471,54755,2,11,0,3,1,1,0,1,1
BR1_3027352495,70587,76345,4,10,0,2,3,3,1,1,1
BR1_3027213259,66737,54334,10,0,2,0,2,0,1,0,0
BR1_3027049571,62722,74113,4,8,0,1,1,5,0,2,1
BR1_3027030357,41474,53466,3,10,0,2,0,2,0,0,1
BR1_3026780538,43704,56251,0,11,0,3,1,1,0,1,1
BR1_3026623882,46383,34412,9,0,1,0,0,1,0,0,0
BR1_3026499836,54944,47523,7,7,1,2,2,1,1,0,0
BR1_3026476427,40892,55437,1,10,0,1,2,1,0,1,1
BR1_3026269875,59380,66151,6,10,1,3,2,2,0,1,1
BR1_3030467269,88805,87083,8,8,1,2,2,4,0,2,1
